sym,style,profit,entry_cost,exit_cost,total_cost
NZDJPY,intraday,-89.73,1.7000000000010118,1.8000000000000682,3.50000000000108
EURNZD,intraday,-104.37,2.9999999999996696,2.9999999999996696,5.999999999999339
EURJPY,intraday,15.8,2.199999999999136,-0.7999999999981355,1.4000000000010004
NZDUSD,intraday,-48.87,0.9999999999998899,-0.8999999999992347,0.10000000000065512
USDJPY,swing,0.51,2.0999999999986585,0.49999999999954525,2.5999999999982037
USDJPY,swing,-9.11,-0.10000000000047748,-0.39999999999906777,-0.49999999999954525
EURUSD,position,-2.98,0.9999999999998899,0.2999999999997449,1.2999999999996348
GBPNZD,intraday,-339.95,9.00000000000123,2.6999999999999247,11.700000000001154
AUDNZD,swing,-73.22,1.0000000000021103,1.2999999999996348,2.300000000001745
NZDUSD,scalp,26.89,0.49999999999994493,-0.30000000000085514,0.1999999999990898
USDJPY,swing,-26.83,1.8000000000000682,-0.49999999999954525,1.300000000000523
CADJPY,swing,-2.5,6.399999999999295,1.5000000000000568,7.899999999999352
EURNZD,intraday,107.88,2.900000000001235,-0.700000000000145,2.20000000000109
EURNZD,intraday,55.12,2.80000000000058,-0.40000000000040004,2.4000000000001798
EURCAD,swing,-278.45,5.1000000000001044,1.2000000000012,6.300000000001305
EURAUD,swing,-169.3,3.4999999999985043,1.40000000000029,4.899999999998794
GBPNZD,intraday,-84.6,4.100000000000215,-7.199999999998319,-3.0999999999981043
USDCAD,swing,-51.48,-1.8999999999991246,3.00000000000189,1.1000000000027654
USDCHF,swing,-87.05,-0.5999999999994898,-0.49999999999994493,-1.0999999999994348
EURUSD,swing,-30.9,0.40000000000040004,-0.5999999999994898,-0.1999999999990898
USDJPY,swing,32.55,0.10000000000047748,-2.899999999999636,-2.7999999999991587
NZDUSD,intraday,910.58,2.1999999999999797,-0.40000000000040004,1.7999999999995797
GBPNZD,intraday,-118.02,12.80000000000392,4.8000000000003595,17.60000000000428
CADJPY,swing,-256.73,2.1000000000000796,-0.30000000000001137,1.8000000000000682
CADJPY,swing,-133.05,2.400000000000091,-0.20000000000095497,2.199999999999136
EURJPY,intraday,-86.78,-0.9000000000014552,3.100000000000591,2.199999999999136
EURNZD,intraday,-267.87,4.599999999999049,0.9999999999998899,5.599999999998939
USDJPY,swing,-7.52,1.6999999999995907,1.500000000001478,3.2000000000010687
NZDJPY,scalp,234.28,0.7999999999995566,-2.1000000000000796,-1.300000000000523
NZDJPY,scalp,471.05,0.7999999999995566,0.39999999999906777,1.1999999999986244
NZDUSD,swing,-15.87,1.7000000000000348,2.60000000000038,4.300000000000415
CADJPY,swing,-52.1,0.19999999999953388,2.1000000000000796,2.2999999999996135
CADJPY,swing,-24.34,0.10000000000047748,2.200000000000557,2.3000000000010346
GBPNZD,intraday,-554.08,15.199999999997438,6.699999999999484,21.899999999996922
EURJPY,intraday,23.23,-3.100000000000591,4.400000000001114,1.300000000000523
USDJPY,swing,2.55,-0.9999999999990905,-0.10000000000047748,-1.099999999999568
NZDUSD,intraday,-294.47,-2.500000000000835,1.80000000000069,-0.700000000000145
CADJPY,swing,-189.59,0.40000000000048885,4.099999999999682,4.5000000000001705
NZDJPY,scalp,-118.07,-2.400000000000091,2.899999999999636,0.49999999999954525
EURNZD,intraday,-162.98,9.099999999999664,1.9999999999997797,11.099999999999444
AUDNZD,swing,23.76,-0.5999999999994898,2.5999999999992696,1.9999999999997797
NZDJPY,scalp,160.37,-5.299999999999727,4.600000000000648,-0.6999999999990791
CADJPY,swing,-42.25,0.9000000000000341,4.200000000000159,5.100000000000193
GBPNZD,intraday,-30.23,7.80000000000225,-5.899999999998684,1.9000000000035655
USDJPY,swing,4.05,1.099999999999568,-1.2000000000000455,-0.10000000000047748
NZDUSD,swing,8.94,-0.2999999999997449,-2.80000000000058,-3.1000000000003247
NZDJPY,scalp,-20.64,2.9000000000010573,4.900000000000659,7.800000000001717
CADJPY,swing,-73.04,0.10000000000047748,4.200000000000159,4.300000000000637
CADJPY,swing,-41.31,2.200000000000557,4.300000000000637,6.500000000001194
NZDUSD,scalp,-295.6,0.30000000000085514,-0.49999999999994493,-0.1999999999990898
CADJPY,scalp,-144.22,0.40000000000048885,-3.50000000000108,-3.100000000000591
NZDJPY,swing,-66.89,0.40000000000048885,-0.9000000000000341,-0.49999999999954525
NZDUSD,intraday,30.71,-0.20000000000020002,-0.40000000000040004,-0.6000000000006
USDJPY,swing,-40.31,1.4000000000010004,9.700000000000841,11.100000000001842
GBPNZD,intraday,2.05,-2.100000000000435,0.3999999999981796,-1.7000000000022553
EURNZD,intraday,43.33,3.6999999999998145,21.100000000000563,24.800000000000377
NZDUSD,swing,672.77,1.0999999999994348,0.49999999999994493,1.5999999999993797
NZDUSD,swing,461.11,1.0999999999994348,2.6999999999999247,3.7999999999993594
CADJPY,intraday,-34.8,0.10000000000047748,-3.4000000000006025,-3.300000000000125
NZDJPY,intraday,115.4,1.7000000000010118,-0.8000000000009777,0.9000000000000341
USDJPY,swing,-12.18,0.6000000000000227,-8.00000000000125,-7.400000000001228
AUDNZD,swing,-145.02,-0.20000000000131024,0.5000000000010552,0.2999999999997449
GBPNZD,swing,-132.09,16.899999999999693,5.099999999997884,21.999999999997577
NZDUSD,intraday,24.83,2.100000000000435,1.7000000000000348,3.8000000000004697
EURUSD,swing,-3.82,0.10000000000065512,-0.10000000000065512,0.0
NZDUSD,swing,-22.32,1.4999999999998348,2.100000000000435,3.6000000000002697
USDCAD,swing,-26.23,2.1999999999988695,0.9999999999998899,3.1999999999987594
USDCHF,swing,-1.95,0.900000000000345,0.7999999999996898,1.7000000000000348
USDJPY,swing,4.85,-0.49999999999954525,-1.500000000001478,-2.000000000001023
NZDUSD,swing,-9.35,0.7999999999996898,1.2999999999996348,2.0999999999993246
EURUSD,swing,10.08,0.20000000000131024,1.1999999999989797,1.40000000000029
NZDUSD,swing,0.67,0.700000000000145,0.700000000000145,1.40000000000029
USDCAD,swing,-5.75,0.40000000000040004,-2.2999999999995246,-1.8999999999991246
USDCHF,swing,6.14,0.8999999999992347,-0.40000000000040004,0.4999999999988347
USDJPY,swing,11.74,0.7000000000005002,1.4999999999986358,2.199999999999136
EURUSD,swing,4.87,0.9999999999998899,-1.9999999999997797,-0.9999999999998899
EURUSD,swing,32.85,0.700000000000145,2.60000000000149,3.300000000001635
AUDUSD,swing,-41.29,2.6999999999999247,0.20000000000020002,2.9000000000001247
NZDUSD,swing,43.01,2.4999999999997247,0.2999999999997449,2.7999999999994696
CADJPY,scalp,194.59,0.30000000000001137,2.7000000000001023,3.0000000000001137
NZDJPY,intraday,-282.43,1.6999999999995907,4.599999999999227,6.299999999998818
EURUSD,intraday,38.2,-1.2999999999996348,0.1999999999990898,-1.100000000000545
USDCAD,swing,-13.68,-2.80000000000058,-4.899999999998794,-7.699999999999374
USDCHF,swing,-2.41,0.0999999999995449,-3.4000000000000696,-3.3000000000005247
EURNZD,intraday,983.39,4.8000000000003595,0.9000000000014552,5.700000000001815
CHFJPY,swing,-554.63,3.6000000000001364,10.099999999999909,13.700000000000045
AUDNZD,swing,-394.23,0.9999999999998899,2.100000000000435,3.1000000000003247
AUDUSD,swing,-27.11,1.7999999999995797,1.80000000000069,3.6000000000002697
GBPCAD,swing,2786.72,0.1999999999990898,3.300000000001635,3.5000000000007248
EURUSD,swing,-3113.65,-4.500000000000615,-31.69999999999895,-36.19999999999956
CADJPY,scalp,-1.86,0.20000000000095497,-0.6000000000000227,-0.39999999999906777
CHFJPY,swing,6.8,2.6999999999986812,3.900000000001569,6.60000000000025
GBPCAD,swing,-3.42,2.500000000000835,1.4999999999987246,3.9999999999995595
CHFJPY,swing,6.26,3.8999999999987267,3.900000000001569,7.800000000000296
AUDNZD,swing,-1.57,1.5999999999993797,0.2999999999997449,1.8999999999991246
GBPNZD,swing,-5.96,3.599999999996939,-0.700000000000145,2.899999999996794
USDCHF,swing,-16.64,1.4999999999998348,1.80000000000069,3.3000000000005247
